book_title,book_authors,book_format,book_isbn,book_pages,book_rating,book_rating_count
Their Eyes Were Watching God,Zora Neale Hurston,Paperback,978315741280,219 ,3.89,219443
Atonement,Ian McEwan,Paperback,978315741281,351 ,3.89,391630
The Importance of Being Earnest,Oscar Wilde,Paperback,978315741282,76 ,4.17,264693
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,Paperback,978315741283,815 ,4.38,252980
Frostbite,Richelle Mead,Paperback,978315741284,327 ,4.29,283827
"Eat, Pray, Love",Elizabeth Gilbert,Paperback,978315741285,334 ,3.53,1305657
The Three Musketeers,Alexandre Dumas,Paperback,978315741286,625 ,4.07,241297
The Wonderful Wizard of Oz,L. Frank Baum|W.W. Denslow,Paperback,978315741287,154 ,3.98,309018
Goodnight Moon,Margaret Wise Brown|Clement Hurd,Hardcover,978315741288,32 ,4.27,266591
The Lorax,Dr. Seuss,Hardcover,978315741289,72 ,4.35,241590
Blood Promise,Richelle Mead,Hardcover,978315741290,503 ,4.35,256884
Where the Red Fern Grows,Wilson Rawls,Hardcover,978315741291,212 ,4.05,300435
The Good Earth,Pearl S. Buck,Paperback,978315741292,418 ,3.98,205238
Tess of the D'Urbervilles,Thomas Hardy|Margaret R. Higonnet|Tim Dolin,Paperback,978315741293,518 ,3.78,211670
A Midsummer Night's Dream,William Shakespeare|Barbara A. Mowat|Paul Werstine|Catherine Belsey,Paperback,978315741294,298 ,3.94,395736
The Prophet,Kahlil Gibran,Paperback,978315741295,127 ,4.23,182895
The Mists of Avalon,Marion Zimmer Bradley,Paperback,978315741296,884 ,4.12,173459
Heart of Darkness,Joseph Conrad,Paperback,978315741297,188 ,3.42,347389
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett|Neil Gaiman,Mass Market Paperback,978315741298,412 ,4.25,378490
The Joy Luck Club,Amy Tan,Paperback,978315741299,288 ,3.91,552197
The Hobbit,J.R.R. Tolkien,Paperback,978315741300,366 ,4.26,2422848
The Battle of the Labyrinth,Rick Riordan,Hardcover,978315741301,361 ,4.39,592128
Jonathan Livingston Seagull,Richard Bach|Russell Munson,Paperback,978315741302,112 ,3.81,166770
Alice in Wonderland,Jane Carruth|Rene Cloke|Lewis Carroll,Hardcover,978315741303,92 ,4.03,356729
The Phantom Tollbooth,Norton Juster|Jules Feiffer,Paperback,978315741304,256 ,4.21,207536
The Call of the Wild,Jack London,Paperback,978315741305,172 ,3.84,276707
Clockwork Princess,Cassandra Clare,Paperback,978315741306,567 ,4.59,277242
The Sea of Monsters,Rick Riordan,Hardcover,978315741307,279 ,4.24,613354
"Oh, The Places You'll Go!",Dr. Seuss,Hardcover,978315741308,44 ,4.35,281184
Madame Bovary,Gustave Flaubert|Malcolm Bowie|Margaret Mauldon|Mark Overstall,Paperback,978315741309,329 ,3.66,209654
The Girl Who Played with Fire,Stieg Larsson|Reg Keeland,Hardcover,978315741310,503 ,4.23,717071
Bridge to Terabithia,Katherine Paterson,Paperback,978315741311,128 ,3.98,384779
The Titan's Curse,Rick Riordan,Paperback,978315741312,320 ,4.34,562627
The Hunger Games Trilogy Boxset,Suzanne Collins,Hardcover,978315741313,1155 ,4.48,171023
Fifty Shades of Grey,E.L. James,ebook,978315741314,356 ,3.66,1602670
Oliver Twist,Charles Dickens|Philip Horne|George Cruikshank,Paperback,978315741315,608 ,3.85,277586
The Clan of the Cave Bear,Jean M. Auel,Mass Market Paperback,978315741316,512 ,4.03,200505
The Canterbury Tales,Geoffrey Chaucer|Nevill Coghill,Paperback,978315741317,504 ,3.49,168744
Ulysses,James Joyce|Morris L. Ernst|John M. Woolsey,Paperback,978315741318,783 ,3.74,95889
The Maze Runner,James Dashner,Hardcover,978315741319,384 ,4.03,861972
Treasure Island,Robert Louis Stevenson,Hardcover,978315741320,311 ,3.83,344305
The World According to Garp,John Irving,Hardcover,978315741321,610 ,4.08,188576
The Neverending Story,Michael Ende|Ralph Manheim|Roswitha Quadflieg|Miguel Sáenz,Hardcover,978315741322,396 ,4.18,136309
A Farewell to Arms,Ernest Hemingway,Paperback,978315741323,293 ,3.79,226697
